scenario,feature,importance_mean,importance_std
cross_ipvs_to_uams,mfcc_delta_02_mean,0.02633053221288517,0.007776157913597362
cross_ipvs_to_uams,pitch_hz_mean,0.024649859943977604,0.010858331846951718
cross_ipvs_to_uams,pitch_hz_median,0.024649859943977604,0.010858331846951718
cross_ipvs_to_uams,rms_std,0.023062558356676022,0.010727880932748768
cross_ipvs_to_uams,pitch_hz_max,0.01820728291316529,0.011406901702026715
cross_ipvs_to_uams,mfcc_delta2_02_mean,0.01661998132586371,0.010336771244144198
cross_ipvs_to_uams,rms_min,0.01167133520074699,0.010573997808502463
cross_ipvs_to_uams,spectral_contrast_01_median,0.01167133520074699,0.010573997808502463
cross_ipvs_to_uams,spectral_contrast_01_mean,0.01167133520074699,0.010573997808502463
cross_ipvs_to_uams,spectral_contrast_06_median,0.009990662931839422,0.010953061510373766
cross_ipvs_to_uams,spectral_contrast_06_mean,0.009990662931839422,0.010953061510373766
cross_ipvs_to_uams,rms_median,0.009990662931839422,0.010953061510373766
cross_ipvs_to_uams,rms_mean,0.009990662931839422,0.010953061510373766
cross_ipvs_to_uams,mfcc_delta_03_mean,0.00840336134453784,0.008403361344537843
cross_ipvs_to_uams,chroma_12_max,0.00840336134453784,0.008403361344537843
cross_ipvs_to_uams,mfcc_delta_12_mean,0.0067226890756302725,0.008233578967338437
cross_ipvs_to_uams,chroma_06_max,0.0067226890756302725,0.008233578967338437
cross_ipvs_to_uams,zcr_min,0.0067226890756302725,0.008233578967338437
cross_ipvs_to_uams,spectral_contrast_05_std,0.006629318394024286,0.010924369747899168
cross_ipvs_to_uams,chroma_05_max,0.005042016806722704,0.007701807890682107
cross_ipvs_to_uams,mfcc_delta_07_mean,0.005042016806722704,0.007701807890682107
cross_ipvs_to_uams,spectral_contrast_05_mean,0.005042016806722704,0.007701807890682107
cross_ipvs_to_uams,spectral_contrast_05_min,0.005042016806722704,0.007701807890682107
cross_ipvs_to_uams,spectral_contrast_05_median,0.005042016806722704,0.007701807890682107
cross_ipvs_to_uams,signal_std,0.005042016806722704,0.007701807890682107
cross_ipvs_to_uams,signal_abs_mean,0.005042016806722704,0.007701807890682107
cross_ipvs_to_uams,mfcc_10_max,0.005042016806722704,0.007701807890682107
cross_ipvs_to_uams,mfcc_delta2_08_median,0.005042016806722704,0.007701807890682107
cross_ipvs_to_uams,mfcc_delta2_12_mean,0.005042016806722704,0.007701807890682107
cross_ipvs_to_uams,mfcc_delta2_08_mean,0.005042016806722704,0.007701807890682107
cross_ipvs_to_uams,chroma_07_mean,0.0033613445378151362,0.006722689075630272
cross_ipvs_to_uams,spectral_contrast_05_max,0.0016806722689075681,0.005042016806722705
cross_ipvs_to_uams,chroma_09_median,0.0016806722689075681,0.005042016806722705
cross_ipvs_to_uams,pitch_strength_mean,0.0016806722689075681,0.005042016806722705
cross_ipvs_to_uams,spectral_centroid_median,0.0,0.0
cross_ipvs_to_uams,spectral_bandwidth_mean,0.0,0.0
cross_ipvs_to_uams,spectral_bandwidth_std,0.0,0.0
cross_ipvs_to_uams,spectral_bandwidth_min,0.0,0.0
cross_ipvs_to_uams,spectral_bandwidth_max,0.0,0.0
cross_ipvs_to_uams,spectral_bandwidth_median,0.0,0.0
cross_ipvs_to_uams,spectral_rolloff_mean,0.0,0.0
cross_ipvs_to_uams,spectral_rolloff_std,0.0,0.0
cross_ipvs_to_uams,spectral_rolloff_min,0.0,0.0
cross_ipvs_to_uams,spectral_rolloff_max,0.0,0.0
cross_ipvs_to_uams,spectral_rolloff_median,0.0,0.0
cross_ipvs_to_uams,spectral_flatness_mean,0.0,0.0
cross_ipvs_to_uams,spectral_flatness_std,0.0,0.0
cross_ipvs_to_uams,spectral_flatness_min,0.0,0.0
cross_ipvs_to_uams,spectral_flatness_max,0.0,0.0
cross_ipvs_to_uams,spectral_flatness_median,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_01_std,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_01_min,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_01_max,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_02_mean,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_02_std,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_02_min,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_02_max,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_02_median,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_03_mean,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_03_std,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_03_min,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_03_max,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_03_median,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_04_mean,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_04_std,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_04_min,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_04_max,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_04_median,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_06_std,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_06_min,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_06_max,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_07_mean,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_07_std,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_07_min,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_07_max,0.0,0.0
cross_ipvs_to_uams,spectral_contrast_07_median,0.0,0.0
cross_ipvs_to_uams,mfcc_01_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_01_std,0.0,0.0
cross_ipvs_to_uams,mfcc_01_min,0.0,0.0
cross_ipvs_to_uams,mfcc_01_max,0.0,0.0
cross_ipvs_to_uams,mfcc_01_median,0.0,0.0
cross_ipvs_to_uams,mfcc_02_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_02_std,0.0,0.0
cross_ipvs_to_uams,mfcc_02_min,0.0,0.0
cross_ipvs_to_uams,mfcc_02_max,0.0,0.0
cross_ipvs_to_uams,mfcc_02_median,0.0,0.0
cross_ipvs_to_uams,mfcc_03_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_03_std,0.0,0.0
cross_ipvs_to_uams,mfcc_03_min,0.0,0.0
cross_ipvs_to_uams,mfcc_03_max,0.0,0.0
cross_ipvs_to_uams,mfcc_03_median,0.0,0.0
cross_ipvs_to_uams,mfcc_04_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_04_std,0.0,0.0
cross_ipvs_to_uams,mfcc_04_min,0.0,0.0
cross_ipvs_to_uams,mfcc_04_max,0.0,0.0
cross_ipvs_to_uams,mfcc_04_median,0.0,0.0
cross_ipvs_to_uams,mfcc_05_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_05_std,0.0,0.0
cross_ipvs_to_uams,mfcc_05_min,0.0,0.0
cross_ipvs_to_uams,mfcc_05_max,0.0,0.0
cross_ipvs_to_uams,mfcc_05_median,0.0,0.0
cross_ipvs_to_uams,mfcc_06_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_06_std,0.0,0.0
cross_ipvs_to_uams,mfcc_06_min,0.0,0.0
cross_ipvs_to_uams,mfcc_06_max,0.0,0.0
cross_ipvs_to_uams,mfcc_06_median,0.0,0.0
cross_ipvs_to_uams,mfcc_07_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_07_std,0.0,0.0
cross_ipvs_to_uams,mfcc_07_min,0.0,0.0
cross_ipvs_to_uams,mfcc_07_max,0.0,0.0
cross_ipvs_to_uams,mfcc_07_median,0.0,0.0
cross_ipvs_to_uams,mfcc_08_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_08_std,0.0,0.0
cross_ipvs_to_uams,mfcc_08_min,0.0,0.0
cross_ipvs_to_uams,mfcc_08_max,0.0,0.0
cross_ipvs_to_uams,mfcc_08_median,0.0,0.0
cross_ipvs_to_uams,mfcc_09_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_09_std,0.0,0.0
cross_ipvs_to_uams,mfcc_09_min,0.0,0.0
cross_ipvs_to_uams,mfcc_09_max,0.0,0.0
cross_ipvs_to_uams,mfcc_09_median,0.0,0.0
cross_ipvs_to_uams,mfcc_10_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_10_std,0.0,0.0
cross_ipvs_to_uams,mfcc_10_min,0.0,0.0
cross_ipvs_to_uams,mfcc_10_median,0.0,0.0
cross_ipvs_to_uams,mfcc_11_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_11_std,0.0,0.0
cross_ipvs_to_uams,mfcc_11_min,0.0,0.0
cross_ipvs_to_uams,mfcc_11_max,0.0,0.0
cross_ipvs_to_uams,mfcc_11_median,0.0,0.0
cross_ipvs_to_uams,mfcc_12_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_12_std,0.0,0.0
cross_ipvs_to_uams,mfcc_12_min,0.0,0.0
cross_ipvs_to_uams,mfcc_12_max,0.0,0.0
cross_ipvs_to_uams,mfcc_12_median,0.0,0.0
cross_ipvs_to_uams,mfcc_13_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_13_std,0.0,0.0
cross_ipvs_to_uams,mfcc_13_min,0.0,0.0
cross_ipvs_to_uams,mfcc_13_max,0.0,0.0
cross_ipvs_to_uams,mfcc_13_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_01_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_01_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_01_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_01_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_01_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_02_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_02_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_02_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_02_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_03_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_03_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_03_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_03_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_04_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_04_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_04_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_04_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_04_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_05_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_05_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_05_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_05_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_05_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_06_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_06_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_06_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_06_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_06_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_07_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_07_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_07_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_07_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_08_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_08_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_08_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_08_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_08_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_09_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_09_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_09_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_09_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_09_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_10_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_10_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_10_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_10_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_10_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_11_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_11_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_11_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_11_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_11_median,0.0,0.0
cross_ipvs_to_uams,signal_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_12_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_12_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_12_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_12_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_13_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_13_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_13_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_13_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta_13_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_01_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_01_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_01_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_01_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_01_median,0.0,0.0
cross_ipvs_to_uams,chroma_11_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_02_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_02_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_02_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_02_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_03_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_03_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_03_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_03_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_03_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_04_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_04_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_04_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_04_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_04_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_05_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_05_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_05_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_05_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_05_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_06_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_06_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_06_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_06_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_06_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_07_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_07_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_07_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_07_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_07_median,0.0,0.0
cross_ipvs_to_uams,chroma_08_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_08_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_08_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_08_max,0.0,0.0
cross_ipvs_to_uams,chroma_09_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_09_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_09_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_09_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_09_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_09_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_10_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_10_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_10_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_10_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_10_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_11_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_11_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_11_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_11_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_11_median,0.0,0.0
cross_ipvs_to_uams,chroma_09_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_12_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_12_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_12_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_12_median,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_13_mean,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_13_std,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_13_min,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_13_max,0.0,0.0
cross_ipvs_to_uams,mfcc_delta2_13_median,0.0,0.0
cross_ipvs_to_uams,chroma_01_mean,0.0,0.0
cross_ipvs_to_uams,chroma_01_std,0.0,0.0
cross_ipvs_to_uams,chroma_01_min,0.0,0.0
cross_ipvs_to_uams,chroma_01_max,0.0,0.0
cross_ipvs_to_uams,chroma_01_median,0.0,0.0
cross_ipvs_to_uams,chroma_02_mean,0.0,0.0
cross_ipvs_to_uams,chroma_02_std,0.0,0.0
cross_ipvs_to_uams,chroma_02_min,0.0,0.0
cross_ipvs_to_uams,chroma_02_max,0.0,0.0
cross_ipvs_to_uams,chroma_02_median,0.0,0.0
cross_ipvs_to_uams,chroma_03_mean,0.0,0.0
cross_ipvs_to_uams,chroma_03_std,0.0,0.0
cross_ipvs_to_uams,chroma_03_min,0.0,0.0
cross_ipvs_to_uams,chroma_03_max,0.0,0.0
cross_ipvs_to_uams,chroma_03_median,0.0,0.0
cross_ipvs_to_uams,chroma_04_mean,0.0,0.0
cross_ipvs_to_uams,chroma_04_std,0.0,0.0
cross_ipvs_to_uams,chroma_04_min,0.0,0.0
cross_ipvs_to_uams,chroma_04_max,0.0,0.0
cross_ipvs_to_uams,chroma_04_median,0.0,0.0
cross_ipvs_to_uams,chroma_05_mean,0.0,0.0
cross_ipvs_to_uams,chroma_05_std,0.0,0.0
cross_ipvs_to_uams,chroma_05_min,0.0,0.0
cross_ipvs_to_uams,chroma_09_min,0.0,0.0
cross_ipvs_to_uams,chroma_05_median,0.0,0.0
cross_ipvs_to_uams,chroma_06_mean,0.0,0.0
cross_ipvs_to_uams,chroma_06_std,0.0,0.0
cross_ipvs_to_uams,chroma_06_min,0.0,0.0
cross_ipvs_to_uams,chroma_09_max,0.0,0.0
cross_ipvs_to_uams,chroma_06_median,0.0,0.0
cross_ipvs_to_uams,chroma_10_mean,0.0,0.0
cross_ipvs_to_uams,chroma_07_std,0.0,0.0
cross_ipvs_to_uams,chroma_07_min,0.0,0.0
cross_ipvs_to_uams,chroma_07_max,0.0,0.0
cross_ipvs_to_uams,chroma_07_median,0.0,0.0
cross_ipvs_to_uams,chroma_08_mean,0.0,0.0
cross_ipvs_to_uams,chroma_08_std,0.0,0.0
cross_ipvs_to_uams,chroma_08_min,0.0,0.0
cross_ipvs_to_uams,shimmer_rel,0.0,0.0
cross_ipvs_to_uams,chroma_12_mean,0.0,0.0
cross_ipvs_to_uams,chroma_12_std,0.0,0.0
cross_ipvs_to_uams,chroma_12_min,0.0,0.0
cross_ipvs_to_uams,chroma_10_std,0.0,0.0
cross_ipvs_to_uams,chroma_12_median,0.0,0.0
cross_ipvs_to_uams,chroma_10_min,0.0,0.0
cross_ipvs_to_uams,pitch_hz_std,0.0,0.0
cross_ipvs_to_uams,pitch_hz_min,0.0,0.0
cross_ipvs_to_uams,chroma_10_max,0.0,0.0
cross_ipvs_to_uams,chroma_10_median,0.0,0.0
cross_ipvs_to_uams,pitch_range_hz,0.0,0.0
cross_ipvs_to_uams,jitter_abs,0.0,0.0
cross_ipvs_to_uams,jitter_rel,0.0,0.0
cross_ipvs_to_uams,shimmer_abs,0.0,0.0
cross_ipvs_to_uams,chroma_11_mean,0.0,0.0
cross_ipvs_to_uams,chroma_08_max,0.0,0.0
cross_ipvs_to_uams,chroma_11_std,0.0,0.0
cross_ipvs_to_uams,chroma_11_min,0.0,0.0
cross_ipvs_to_uams,voiced_fraction,0.0,0.0
cross_ipvs_to_uams,duration_sec,0.0,0.0
cross_ipvs_to_uams,hnr_db,0.0,0.0
cross_ipvs_to_uams,zcr_mean,0.0,0.0
cross_ipvs_to_uams,zcr_std,0.0,0.0
cross_ipvs_to_uams,spectral_centroid_mean,0.0,0.0
cross_ipvs_to_uams,zcr_max,0.0,0.0
cross_ipvs_to_uams,zcr_median,0.0,0.0
cross_ipvs_to_uams,spectral_centroid_std,0.0,0.0
cross_ipvs_to_uams,spectral_centroid_min,0.0,0.0
cross_ipvs_to_uams,spectral_centroid_max,0.0,0.0
cross_ipvs_to_uams,rms_max,0.0,0.0
cross_ipvs_to_uams,chroma_11_max,0.0,0.0
